block_date,n_swaps,simple_avg_next_bps,usd_weighted_next_bps,simple_avg_15s_bps,usd_weighted_15s_bps,total_usd,lp_pnl_next_dollar,lp_pnl_15s_dollar
2025-08-01,7359,2.5609222456139182,-0.20630328542984605,2.0968244860654766,-0.7828178654176746,1.0848660948729566E8,-1578.111335704189,-7763.352269126474
2025-08-02,6086,2.428083390877383,1.6227321870854539,2.292764950096775,1.6780106634712662,7.57710278814145E7,13483.947182892776,13900.421077140712
2025-08-03,4653,22.07856734283737,0.7668793212079916,22.10588332508925,0.7407011480788915,3.2032872949848365E7,2970.90093179163,2881.01439046931
2025-08-04,5215,6.172463346087532,0.5030509194524194,6.145627217394964,0.24603916286607103,4.767256668526748E7,2469.647383029744,1239.8358970716836
2025-08-05,5126,2.609770391908147,-0.07776833711034722,2.4122800645107456,-0.333901899512193,5.719310853653017E7,-381.3852604763107,-1848.8155700125849
2025-08-06,4867,3.0722775710279207,-0.1116783152935146,2.873100076273861,-0.6991245169898946,4.30424278641157E7,-421.44098651823765,-2966.2419210150324
2025-08-07,5143,3.5720875515339903,0.6659091139221298,3.487283086546534,0.0048310621147522525,6.503207530848458E7,4447.465982401408,141.01638838545068
2025-08-08,5685,3.1027277896398333,0.6563965078447013,2.9193785912862333,0.03405266634213469,7.967604479636554E7,5131.742241426474,160.00688239859898
2025-08-09,6960,3.2801462457042083,1.9899422544285323,3.2055080525127204,1.770385783769423,1.0118279366294783E8,21023.826582162725,18824.707391088057
2025-08-10,5574,3.2121299519777518,1.9792217388007596,3.0767093874534623,1.8928425748924103,5.97004592924222E7,12375.417200464613,11862.226047179598
2025-08-11,6058,2.832987884387149,0.6344146629699231,2.9272321847404092,0.5843783691405893,7.456536857215303E7,4936.0174276080215,4573.207070533572
2025-08-12,7022,4.750822579195957,2.4743116368735896,4.713768553410246,2.315220212780327,1.210299305818788E8,29954.557689230605,27948.245455403296
2025-08-13,7138,3.0430327847027123,0.9502073698492812,3.0258641152014256,2.634271830273375,2.155463489814047E8,22537.351344549745,58796.62431297157
2025-08-14,7422,2.6182011050203706,1.5757712830409396,2.4975920680945856,1.3577278119052445,2.5611710053747287E8,44088.05991603002,38428.63640031557
2025-08-15,6409,2.2763937509214878,0.26651168885098386,2.147808863393003,-0.04913786829382433,1.8592179547328842E8,5822.804503527741,21.69558585210234
2025-08-16,4348,2.20534144729868,0.6159639006459097,2.110129863035111,0.1918062734190841,7.593827029328126E7,4855.256058750781,1622.456252787002
2025-08-17,5033,2.7665957198676,-2.2171517275719874,2.8426919634471557,-4.133979339160024,2.1428278399200612E8,-47951.4667521392,-89771.88259095294
2025-08-18,6068,1.8689796115988533,-1.1938968225519786,1.838723344984285,-0.9600275562992451,1.7729422167939848E8,-19358.10285280793,-15267.449397262244
2025-08-19,7023,21.922140028239447,0.7113871899428551,21.881551634542983,0.295934842022537,1.9494311356361175E8,15328.108325458092,7190.364625026676
2025-08-20,6718,2.5742540611380886,0.2537833659734861,2.4464151074766605,-0.2577473944734431,1.595721516901649E8,4644.571583182534,-3523.0784606913203
2025-08-21,6235,2.733261272958653,-0.5596094499622356,2.559450248376558,-0.9461087831685905,1.2632514006096275E8,-6987.887522715772,-11886.114906443487
2025-08-22,8506,3.952818526603767,0.5657472669814723,4.026100169139366,-0.1545470469539229,2.089928626052421E8,12275.513740925639,-1969.9067955580117
