usd_amount,markout_bps
1854.3970,3.951968
57.1471,-4.919375
1455.7747,4.376165
16.9631,3.626861
5.0015,-1.052179
98.7596,-1.487366
300.4943,1.806532
4.6813,-11.099561
482.3659,0.923513
199.9829,0.955339
40.6801,-0.199255
886.1171,-6.519554
952.4700,-2.525850
19.9824,-10.586077
11054.2854,0.550769
9.9980,0.222736
5561.0114,2.023966
2041.7028,-1.207688
463.2931,-0.231446
9.8702,-7.974706
1.9988,0.351787
4.9998,4.034679
1.0856,3.571491
9.4776,2.862485
31870.3022,-1.534431
828.5306,1.638539
496.1235,-0.821816
1.0825,-0.135164
1008.0598,-0.404858
499.9123,-4.176689
53253.2412,6.393444
8485.8345,-2.119468
3447.5331,-0.126902
0.9996,4.993034
1916.3565,-2.481406
1235.5929,-3.286581
329.5201,6.350001
999.8682,-0.918909
5266.1667,-0.626055
109.2675,-2.664402
1107.6360,-0.502438
16720.3546,6.006081
358.7467,-4.637229
26.3179,-10.367002
6012.2249,1.437301
5100.6067,3.478704
549.5698,0.056384
4563.6297,3.630914
103.4106,6.840838
99.8007,-2.056078
1000.2597,-2.064271
1412.6838,1.413913
9314.1906,-9.579475
327.4190,-9.128325
1678.8363,0.602237
773.6574,-2.555233
391.1378,3.209099
577.2452,3.254393
314.6704,2.488151
1237.5513,1.966790
1618.5204,2.100336
118.3843,0.363310
168.7405,0.495439
20.1902,2.589948
3967.3340,2.501793
6697.5976,7.516825
156.7752,-2.821902
3141.9547,7.448876
205.0787,2.002254
2023.7439,2.007548
140.9202,-0.810647
9.9583,3.427248
2998.3715,-4.445540
20.6971,1.712362
3123.1149,-3.062995
226.8529,2.570756
200.2332,2.590796
99.2788,-1.270801
2920.8916,-0.112846
100.1598,0.028828
1430.4621,1.711377
0.9111,0.000134
3499.7761,-0.731335
11.3653,0.828095
699.6313,0.861443
888.8926,0.010100
53.8424,5.871824
998.5065,0.046920
1177.5994,-0.175952
672.2202,6.067180
492.4490,7.124776
396.1459,1.257788
159.9359,5.916128
47.7371,2.967262
76.1998,3.598212
789.0924,-7.341797
218252.3869,8.366658
57.2183,-1.956586
9554.8072,-1.505356
4764.1432,1.743005
112.9749,3.339898
29.9617,0.021126
0.3900,0.022822
0.5286,-1.824127
244.8338,3.755977
10.3025,-0.021043
7812.7756,0.367602
89.7205,0.739436
1610.4546,-6.613017
0.8209,-6.537605
272.0385,-3.882964
147831.6617,11.357960
112.4137,-0.719986
997.2060,0.046858
821.0478,-1.349594
1591.7662,0.074775
97.8229,1.078364
145.0877,1.216501
386.9706,1.241490
8489.5897,3.620140
2149.3812,0.272218
5.7852,0.949770
767.8591,0.986084
43785.3396,10.264844
4320.7866,1.129322
2193.2326,0.698741
155.4607,4.911703
1329.4357,5.666542
26.0777,2.568599
93.3223,2.574189
20.3504,-1.510181
7282.3793,8.839662
183.0265,-0.154324
2237.5887,-0.333571
1545.1738,0.577574
139.8089,3.146151
2890.1136,3.288472
11.5212,2.830223
396.6835,1.165999
1815.2122,4.270717
2590.6546,4.686949
1486.1217,3.733404
698.8627,3.012140
185.3735,1.618279
128.3040,1.633021
1053.7666,1.688573
246.1950,1.710613
1494.3627,-0.965415
50.1252,-2.574940
1402.5085,1.786974
369.3024,-1.268492
247.7771,-1.239496
2142.3808,3.104916
329.3485,-7.738124
2.9911,-0.367518
1314.2583,-0.414698
231.5121,-2.724105
183.0631,-4.052903
1991.7811,3.218466
9523.3945,-20.853641
576.6165,3.709845
100.0519,4.287263
6511.0963,4.596189
1876.6892,-7.298388
430.5542,0.723531
0.7815,-17.237490
98.6835,-0.718674
830.6076,3.687346
99.8776,6.312877
794.9571,1.569716
58.5163,-16.395440
6740.6773,2.335131
769.3625,2.684841
324.9700,3.934572
42.5132,3.951688
45.0928,-1.127700
1385.4898,-1.948709
1198.3133,-6.194989
0.0161,2.927287
3690.1604,7.177899
29.9810,11.433001
257.1634,0.181941
297.5851,-6.757021
8451.8070,17.905078
356.8003,2.845577
10.9373,3.579544
240.0327,2.413050
34313.3932,-7.156154
875.3060,-1.526211
11.7470,-6.099523
13602.4914,-0.570624
231.7906,0.085013
97.4623,-0.957699
2061.7415,0.663766
3989.0410,0.562967
124.2131,1.939178
6.3161,-1.615406
6405.9268,-0.087501
3007.5633,4.980491
4.9637,-8.009313
25.8756,-6.624545
30527.0836,4.316657
584.3339,5.790915
217.9927,0.510412
221.2659,4.493483
39.8604,0.001887
13.1365,0.004408
583.6433,1.822262
472.2390,1.872338
14852.9186,8.994369
3.0832,0.786520
8839.1589,2.254287
28.0519,3.912855
47.4803,8.210062
430.7752,39.932120
365.7382,39.970082
23.9255,0.646567
100.9291,0.004787
65278.8114,12.295007
145.8259,0.006913
1042.3238,2.497142
32.6672,1.538148
251.7089,-4.500849
59.8552,-0.483346
29.9826,-2.733002
1820.6595,-1.167803
875.0388,-1.039823
1328.2005,-1.876810
321.3528,-6.987428
205.2671,-1.316058
50.0114,-6.256834
342.9165,2.409202
799.7810,-0.221958
3.2705,-6.650298
30674.6100,3.082490
60.8094,2.092095
875.2146,-2.419582
128.9275,-1.315416
965.1241,-1.916426
6.3591,-0.750899
454.5413,0.601061
2852.7980,-1.796860
3907.5793,0.186209
90.0738,0.745058
47.4650,3.617815
7728.2424,6.306215
151.2151,0.007203
498.0550,1.410078
723.8405,1.189418
1131.7364,1.424290
493.1057,-4.147985
390.7338,-9.742317
186.0507,5.978007
2326.8159,-11.937027
2046.4325,-11.729218
133.1459,0.913397
10.4731,31.954167
994.9266,-1.358758
9877.9480,-0.963560
39.9822,-0.493070
6.5797,1.543844
2892.2734,1.547405
2397.1310,-1.986521
1935.3018,-1.781057
4344.9957,3.012304
111.5290,3.960233
6530.9603,-0.218006
608.6442,0.028872
34.8958,1.403736
241.5347,-2.422185
631.6238,-7.661279
467.6561,1.487020
200.0114,6.274664
2530.6050,3.808429
3637.0356,1.788097
583.6232,1.342903
5.0061,-0.548808
512.4649,0.024343
7.5646,-1.113779
1616.1112,-0.581451
462.0775,1.628615
554.9946,1.676956
0.5927,2.917581
292.7971,-1.361104
1.5570,5.374262
99.5465,2.344675
6156.9479,10.777196
8858.7281,1.334468
2425.9131,1.318635
115.7956,3.098202
15277.7388,2.458514
752.3573,-1.342641
146.4684,1.650213
148.0637,0.278140
1428.1565,0.067742
4.2573,-0.656791
100.7046,-1.063295
511.5214,4.038980
1047.6964,-2.385222
