victim_tx,protocol,pool,usd_amount
0xe8b009b16a52d38a913b1c275982e371032961effe9571d81f6283a1832a3714,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,2.95183630150088
0x2284fdcaaea12ee5188438ee2a223947da07b8e0363cb22a67dbd94d75cb3b45,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,6.275993068829193
0x78aefc5333ebe4269e297e36a63f6bde20fb654400a50cb86076413a48067023,curve_v2,0x5426178799ee0a0181a89b4f57efddfab49941ec,42.1942478086282
0x3b138368085ffdab1b0fb63da4a4df28ad45203fe24430c8d83c488080da20b3,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,1.405802591943715
0xc66d167b1bd7ad7e99b7be7d2a1bbf9daa70062132a013c8e37d2b39beec0c00,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,1.2681117285008
0x04318bc11d990e3b0a8d0f24bc5adac5f227a36df98a8fb4ca5fe8bb37673bfe,balancer_v1,0x4d6c17259332b3a1229bc4938894a7d295f90aeb,22.79993979755022
0x9d5b5e63205e838e8cd94d782cb95f4cec8151dd00d9b78b99d0e42d3fafc8be,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,44.6850349480768
0xe497db486a2e50be1febddca57d533f28e985005cbe7a61338887949d8a10141,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,99.4571748812486
0x7e17766874e5ae39f3c7c3d5fce252923e58d11111b92bc1bb154506ce1dda83,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,318.0540673875349
0x104e71ef7d3e2e3d4e8bdd133bdaf1d26587bfeaac189cd4816dfa4f55396fb3,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,1.646016684975
0x4287eeb0f2b8583f2f71ff871081e0a8a9b60a8f8febe5f55bdb3061c1bc5d12,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,263.3734748887749
