pct,size_usd
2.89,0.8822263720361265
2.9,0.8826283273409059
2.91,0.883815123168153
2.92,0.8848059574932
2.93,0.88590143054
2.94,0.8866176855139
2.95,0.88689996101
2.96,0.8871672255326
2.97,0.8873472350548
2.98,0.8885104769071361
2.99,0.891262719306
3.0,0.8926199158604975
3.01,0.8941269987552
3.02,0.8963883168208
3.03,0.89869514396175
3.04,0.89994303
3.05,0.9023299791537
3.06,0.9054411304880996
3.07,0.91194119998515
3.08,0.9200181820509644
3.09,0.9263595073252
3.1,0.9331126890912312
3.11,0.9362303144166
3.12,0.9387105395072
3.13,0.9395623206732
3.14,0.941314129668
3.15,0.946947779231
3.16,0.94972431
3.17,0.95036364765496
3.18,0.957785887694
3.19,0.9637240850150256
3.2,0.9693281649170502
3.21,0.9742076393080604
3.22,0.9771966643872
3.23,0.9807395815952
3.24,0.983006008176617
3.25,0.9853004830895368
3.26,0.98651796499256
3.27,0.9876211160235916
3.28,0.9883259460875564
3.29,0.9890812610682
3.3,0.9895912291368
3.31,0.9900083065692502
3.32,0.9906172744172332
3.33,0.9911156535248474
3.34,0.9915911917672184
3.35,0.9921299199162932
3.36,0.9928986384378222
3.37,0.9934481200519034
3.38,0.9940654324870106
3.39,0.994731258696
3.4,0.9952985666283256
3.41,0.9958623107184386
3.42,0.9962282982152006
3.43,0.99656673927637
3.44,0.9969814356624722
3.45,0.9973649550922784
3.46,0.9977311427445128
3.47,0.99802362736827
3.48,0.9982812205208352
3.49,0.9985340655900924
3.5,0.99878283590761
3.51,0.99902104795438
3.52,0.999274528341979
3.53,0.99949579334299
3.54,0.99968304847769
3.55,0.9997784065158022
3.56,0.99987495
3.57,0.9999898
3.58,1.00020190910865
3.59,1.00043293592359
3.6,1.0006802921962
3.61,1.001044997738881
3.62,1.00161024864096
3.63,1.002210478
3.64,1.00272727470375
3.65,1.00424526574548
3.66,1.00516956940312
3.67,1.007047153931667
3.68,1.008763877406671
3.69,1.01164352715114
3.7,1.0144010981172
3.71,1.0179763656832
3.72,1.022535423478
3.73,1.0262954388848
3.74,1.0300237666362
3.75,1.033797021463723
3.76,1.0387638508623
3.77,1.042938717760586
3.78,1.04788785776805
3.79,1.05141677134178
3.8,1.05550795
3.81,1.0603077038918
3.82,1.064675941353
3.83,1.069632824031715
3.84,1.074802769531208
3.85,1.08078360267024
3.86,1.08669794863272
3.87,1.091569132199
3.88,1.0969154119274
3.89,1.100828750285545
3.9,1.1049895191424
3.91,1.1105816983954
3.92,1.115664028211775
3.93,1.1215026000346
3.94,1.1284197082008
3.95,1.135475300369211
3.96,1.1430869964624
3.97,1.14818507932606
3.98,1.15333809718
3.99,1.1582763389496
4.0,1.162346103390468
4.01,1.167378825598213
4.02,1.172192712102602
4.03,1.1776771388862
4.04,1.1817629261792
4.05,1.186450176773149
4.06,1.19049801523804
4.07,1.1951191873468
4.08,1.1994364042668
4.09,1.2033316120798
4.1,1.208695907162756
4.11,1.215823648689
4.12,1.22427819777024
4.13,1.23068317090796
4.14,1.2376202091296
4.15,1.245856413811577
4.16,1.250517071447457
4.17,1.257439920277059
4.18,1.26427265328294
4.19,1.272838408781158
4.2,1.2792964292808
4.21,1.286250892158422
4.22,1.2947424337946
4.23,1.300093869594831
4.24,1.30749374724203
4.25,1.3172770659278
4.26,1.3248266283504
4.27,1.3328202886056
4.28,1.33916891168445
4.29,1.3460174765232
4.3,1.35225419133164
4.31,1.35942102410545
