pct,markout_next_bps,markout_15s_bps
46.4,-0.043441,-0.320045
46.5,-0.039177,-0.313553
46.6,-0.035752,-0.307493
46.7,-0.032487,-0.301861
46.8,-0.028674,-0.293943
46.9,-0.025731,-0.287513
47.0,-0.022551,-0.279126
47.1,-0.020287,-0.273805
47.2,-0.016024,-0.270954
47.3,-0.013434,-0.266247
47.4,-0.009322,-0.260940
47.5,-0.006646,-0.255169
47.6,-0.004046,-0.243734
47.7,0.001111,-0.232839
47.8,0.005329,-0.223887
47.9,0.007770,-0.220903
48.0,0.011913,-0.213791
48.1,0.014355,-0.206686
48.2,0.020133,-0.199821
48.3,0.022417,-0.195915
48.4,0.025334,-0.188697
48.5,0.028546,-0.182579
48.6,0.032542,-0.170232
48.7,0.034455,-0.163130
48.8,0.038139,-0.157048
48.9,0.039728,-0.148055
49.0,0.041840,-0.142586
49.1,0.045126,-0.137945
49.2,0.048118,-0.131119
49.3,0.051767,-0.124140
49.4,0.056871,-0.117086
49.5,0.059797,-0.105425
49.6,0.063496,-0.102509
49.7,0.067023,-0.096570
49.8,0.069607,-0.092853
49.9,0.071977,-0.086492
50.0,0.075771,-0.079781
50.1,0.079840,-0.075038
50.2,0.084471,-0.066980
50.3,0.087544,-0.056697
50.4,0.092123,-0.049753
50.5,0.094797,-0.045787
50.6,0.099146,-0.038641
50.7,0.102745,-0.033859
50.8,0.105784,-0.028274
50.9,0.109827,-0.024030
51.0,0.111210,-0.019581
51.1,0.115707,-0.011438
51.2,0.117423,-0.003616
51.3,0.122069,0.003925
51.4,0.126134,0.010225
51.5,0.129161,0.014919
51.6,0.131503,0.023475
51.7,0.135821,0.026429
51.8,0.138762,0.033208
51.9,0.143696,0.041072
52.0,0.146426,0.044351
52.1,0.150694,0.051008
52.2,0.154690,0.059003
52.3,0.157217,0.067760
52.4,0.159420,0.072284
52.5,0.161493,0.076266
52.6,0.165608,0.084034
52.7,0.169986,0.094386
52.8,0.171897,0.103983
52.9,0.177914,0.108292
53.0,0.181494,0.114293
53.1,0.184704,0.116941
53.2,0.186325,0.128049
53.3,0.189859,0.131627
53.4,0.194748,0.137518
53.5,0.198211,0.143433
53.6,0.201166,0.148212
53.7,0.204954,0.154881
53.8,0.208212,0.159259
53.9,0.213745,0.165785
54.0,0.217709,0.171500
54.1,0.221172,0.175922
54.2,0.225275,0.180994
54.3,0.228312,0.186418
54.4,0.230130,0.190716
54.5,0.234142,0.200923
54.6,0.238620,0.208642
54.7,0.240582,0.216627
54.8,0.243901,0.221319
54.9,0.246255,0.228628
55.0,0.249321,0.232127
55.1,0.252615,0.243215
55.2,0.255165,0.248884
55.3,0.258393,0.255663
55.4,0.261363,0.262363
55.5,0.265928,0.267024
55.6,0.268992,0.269653
55.7,0.272067,0.277620
55.8,0.273277,0.283820
55.9,0.276837,0.288535
56.0,0.280063,0.293178
56.1,0.283848,0.298623
56.2,0.286304,0.305355
56.3,0.290473,0.310342
56.4,0.293698,0.316644
56.5,0.296074,0.324134
56.6,0.298591,0.333247
56.7,0.301914,0.339815
56.8,0.305424,0.345614
56.9,0.309094,0.353357
57.0,0.311383,0.362335
57.1,0.315018,0.367592
57.2,0.320755,0.377172
57.3,0.323612,0.384162
57.4,0.326515,0.391300
57.5,0.330139,0.399625
57.6,0.333364,0.404913
57.7,0.336236,0.409873
57.8,0.341796,0.415715
57.9,0.345430,0.422790
58.0,0.348157,0.429815
58.1,0.351344,0.435990
58.2,0.353317,0.449567
58.3,0.355429,0.456320
58.4,0.357572,0.463482
58.5,0.362636,0.470953
58.6,0.365604,0.476714
58.7,0.369475,0.483352
58.8,0.372132,0.487991
58.9,0.374608,0.492366
59.0,0.377504,0.495776
59.1,0.383873,0.504125
59.2,0.387131,0.511397
59.3,0.390942,0.517641
59.4,0.396449,0.527497
59.5,0.400271,0.536047
59.6,0.403495,0.540144
59.7,0.407987,0.547154
59.8,0.410457,0.556335
59.9,0.413318,0.564429
60.0,0.416556,0.568167
60.1,0.418892,0.576438
60.2,0.421649,0.580645
60.3,0.426414,0.588800
60.4,0.430201,0.598688
60.5,0.433377,0.605798
60.6,0.438796,0.608890
60.7,0.444148,0.619355
60.8,0.449781,0.633236
60.9,0.453175,0.639366
61.0,0.455859,0.649030
61.1,0.459800,0.661232
61.2,0.462062,0.668349
