pct,reg1_bps,reg2_bps,reg3_bps,reg4_bps,reg5_bps
30.2,-0.1740,-0.7639,-1.1095,-1.5369,-2.4174
30.4,-0.1593,-0.7520,-1.0954,-1.5202,-2.3864
30.599999999999998,-0.1455,-0.7386,-1.0793,-1.5014,-2.3563
30.8,-0.1269,-0.7235,-1.0646,-1.4842,-2.3247
31.0,-0.1109,-0.7124,-1.0501,-1.4657,-2.2942
31.2,-0.0925,-0.6969,-1.0341,-1.4457,-2.2667
31.4,-0.0814,-0.6844,-1.0198,-1.4273,-2.2372
31.6,-0.0675,-0.6721,-1.0063,-1.4063,-2.2084
31.8,-0.0510,-0.6567,-0.9936,-1.3890,-2.1773
32.0,-0.0434,-0.6448,-0.9808,-1.3687,-2.1475
32.2,-0.0398,-0.6324,-0.9670,-1.3484,-2.1173
32.4,-0.0321,-0.6194,-0.9504,-1.3291,-2.0875
32.6,-0.0254,-0.6068,-0.9365,-1.3105,-2.0586
32.800000000000004,0.0000,-0.5941,-0.9207,-1.2908,-2.0297
33.0,0.0000,-0.5797,-0.9051,-1.2721,-2.0036
33.2,0.0000,-0.5685,-0.8905,-1.2523,-1.9780
33.4,0.0000,-0.5542,-0.8749,-1.2337,-1.9515
33.6,0.0000,-0.5418,-0.8595,-1.2152,-1.9253
33.800000000000004,0.0000,-0.5289,-0.8444,-1.1970,-1.8966
34.0,0.0000,-0.5148,-0.8304,-1.1788,-1.8685
34.2,0.0000,-0.5015,-0.8150,-1.1624,-1.8411
34.4,0.0000,-0.4899,-0.7997,-1.1444,-1.8142
34.599999999999994,0.0000,-0.4778,-0.7862,-1.1278,-1.7866
34.8,0.0000,-0.4652,-0.7718,-1.1090,-1.7583
35.0,0.0000,-0.4496,-0.7591,-1.0917,-1.7310
35.199999999999996,0.0000,-0.4381,-0.7442,-1.0738,-1.7041
35.4,0.0000,-0.4234,-0.7297,-1.0552,-1.6774
35.6,0.0000,-0.4091,-0.7158,-1.0376,-1.6502
35.8,0.0000,-0.3960,-0.6999,-1.0192,-1.6239
36.0,0.0000,-0.3826,-0.6837,-1.0039,-1.5970
36.199999999999996,0.0000,-0.3693,-0.6704,-0.9894,-1.5708
36.4,0.0000,-0.3555,-0.6552,-0.9729,-1.5456
36.6,0.0000,-0.3413,-0.6408,-0.9551,-1.5212
36.8,0.0000,-0.3267,-0.6273,-0.9384,-1.4974
37.0,0.0000,-0.3122,-0.6129,-0.9184,-1.4728
37.2,0.0000,-0.2988,-0.5999,-0.9024,-1.4471
37.4,0.0000,-0.2831,-0.5846,-0.8844,-1.4205
37.6,0.0000,-0.2674,-0.5717,-0.8655,-1.3951
37.8,0.0000,-0.2533,-0.5572,-0.8488,-1.3685
38.0,0.0000,-0.2361,-0.5439,-0.8297,-1.3436
38.2,0.0000,-0.2205,-0.5303,-0.8120,-1.3179
38.4,0.0000,-0.2038,-0.5152,-0.7954,-1.2919
38.6,0.0000,-0.1886,-0.5009,-0.7783,-1.2673
38.800000000000004,0.0000,-0.1716,-0.4892,-0.7627,-1.2423
39.0,0.0000,-0.1565,-0.4748,-0.7457,-1.2171
39.2,0.0000,-0.1400,-0.4585,-0.7284,-1.1919
39.4,0.0000,-0.1228,-0.4446,-0.7132,-1.1676
39.6,0.0000,-0.1083,-0.4310,-0.6945,-1.1431
39.800000000000004,0.0000,-0.0900,-0.4148,-0.6775,-1.1198
40.0,0.0000,-0.0786,-0.3990,-0.6610,-1.0950
40.2,0.0000,-0.0623,-0.3851,-0.6424,-1.0709
40.400000000000006,0.0000,-0.0502,-0.3707,-0.6279,-1.0461
40.6,0.0000,-0.0414,-0.3546,-0.6101,-1.0220
40.8,0.0000,-0.0380,-0.3397,-0.5939,-0.9993
41.0,0.0000,-0.0298,-0.3245,-0.5774,-0.9767
41.199999999999996,0.0000,-0.0229,-0.3084,-0.5607,-0.9522
41.4,0.0000,0.0000,-0.2928,-0.5441,-0.9271
41.6,0.0000,0.0000,-0.2750,-0.5275,-0.9025
41.8,0.0000,0.0000,-0.2601,-0.5095,-0.8778
42.0,0.0000,0.0000,-0.2427,-0.4939,-0.8527
42.199999999999996,0.0000,0.0000,-0.2259,-0.4785,-0.8299
42.4,0.0000,0.0000,-0.2094,-0.4608,-0.8068
42.6,0.0000,0.0000,-0.1918,-0.4439,-0.7831
42.8,0.0000,0.0000,-0.1748,-0.4268,-0.7590
43.0,0.0000,0.0000,-0.1590,-0.4082,-0.7349
43.2,0.0000,0.0000,-0.1433,-0.3899,-0.7117
43.4,0.0000,0.0000,-0.1248,-0.3742,-0.6869
43.6,0.0000,0.0000,-0.1099,-0.3563,-0.6639
43.8,0.0000,0.0000,-0.0894,-0.3385,-0.6386
44.0,0.0000,0.0000,-0.0764,-0.3207,-0.6165
44.2,0.0000,0.0000,-0.0585,-0.3027,-0.5911
44.4,0.0000,0.0000,-0.0473,-0.2839,-0.5673
44.6,0.0000,0.0000,-0.0395,-0.2646,-0.5444
44.800000000000004,0.0000,0.0000,-0.0320,-0.2426,-0.5202
45.0,0.0000,0.0000,-0.0259,-0.2250,-0.4965
45.2,0.0000,0.0000,0.0000,-0.2035,-0.4744
45.4,0.0000,0.0000,0.0000,-0.1842,-0.4502
45.6,0.0000,0.0000,0.0000,-0.1642,-0.4265
45.800000000000004,0.0000,0.0000,0.0000,-0.1466,-0.4017
46.0,0.0000,0.0000,0.0000,-0.1242,-0.3785
46.2,0.0000,0.0000,0.0000,-0.1083,-0.3552
46.400000000000006,0.0000,0.0000,0.0000,-0.0863,-0.3283
46.6,0.0000,0.0000,0.0000,-0.0694,-0.3036
46.800000000000004,0.0000,0.0000,0.0000,-0.0528,-0.2763
47.0,0.0000,0.0000,0.0000,-0.0401,-0.2497
47.199999999999996,0.0000,0.0000,0.0000,-0.0323,-0.2235
47.4,0.0000,0.0000,0.0000,-0.0259,-0.1957
47.599999999999994,0.0000,0.0000,0.0000,0.0000,-0.1680
47.8,0.0000,0.0000,0.0000,0.0000,-0.1413
48.0,0.0000,0.0000,0.0000,0.0000,-0.1158
48.199999999999996,0.0000,0.0000,0.0000,0.0000,-0.0865
48.4,0.0000,0.0000,0.0000,0.0000,-0.0625
48.6,0.0000,0.0000,0.0000,0.0000,-0.0418
48.8,0.0000,0.0000,0.0000,0.0000,-0.0314
49.0,0.0000,0.0000,0.0000,0.0000,0.0000
49.2,0.0000,0.0000,0.0000,0.0000,0.0000
49.4,0.0000,0.0000,0.0000,0.0000,0.0000
49.6,0.0000,0.0000,0.0000,0.0000,0.0000
49.8,0.0000,0.0000,0.0000,0.0000,0.0000
50.0,0.0000,0.0000,0.0000,0.0000,0.0000
50.2,0.0000,0.0000,0.0000,0.0000,0.0000
50.4,0.0000,0.0000,0.0000,0.0000,0.0000
50.6,0.0000,0.0000,0.0000,0.0000,0.0000
50.8,0.0000,0.0000,0.0000,0.0000,0.0296
51.0,0.0000,0.0000,0.0000,0.0000,0.0397
51.2,0.0000,0.0000,0.0000,0.0000,0.0567
51.4,0.0000,0.0000,0.0000,0.0000,0.0796
51.6,0.0000,0.0000,0.0000,0.0000,0.1056
51.800000000000004,0.0000,0.0000,0.0000,0.0000,0.1298
52.0,0.0000,0.0000,0.0000,0.0000,0.1583
52.2,0.0000,0.0000,0.0000,0.0000,0.1852
52.400000000000006,0.0000,0.0000,0.0000,0.0271,0.2117
52.6,0.0000,0.0000,0.0000,0.0333,0.2381
52.800000000000004,0.0000,0.0000,0.0000,0.0405,0.2662
53.0,0.0000,0.0000,0.0000,0.0529,0.2919
53.2,0.0000,0.0000,0.0000,0.0700,0.3176
53.400000000000006,0.0000,0.0000,0.0000,0.0862,0.3413
53.6,0.0000,0.0000,0.0000,0.1064,0.3662
53.800000000000004,0.0000,0.0000,0.0000,0.1238,0.3892
54.0,0.0000,0.0000,0.0000,0.1458,0.4130
54.2,0.0000,0.0000,0.0000,0.1630,0.4374
54.400000000000006,0.0000,0.0000,0.0000,0.1841,0.4593
54.6,0.0000,0.0000,0.0000,0.2037,0.4845
54.800000000000004,0.0000,0.0000,0.0000,0.2252,0.5069
55.00000000000001,0.0000,0.0000,0.0267,0.2436,0.5302
55.2,0.0000,0.0000,0.0322,0.2632,0.5535
55.400000000000006,0.0000,0.0000,0.0398,0.2811,0.5773
55.60000000000001,0.0000,0.0000,0.0465,0.3003,0.6019
55.800000000000004,0.0000,0.0000,0.0586,0.3187,0.6244
56.00000000000001,0.0000,0.0000,0.0765,0.3361,0.6468
56.2,0.0000,0.0000,0.0890,0.3530,0.6716
56.39999999999999,0.0000,0.0000,0.1089,0.3702,0.6945
56.599999999999994,0.0000,0.0000,0.1236,0.3865,0.7186
56.8,0.0000,0.0000,0.1417,0.4030,0.7419
56.99999999999999,0.0000,0.0000,0.1586,0.4218,0.7653
57.199999999999996,0.0000,0.0000,0.1753,0.4398,0.7879
57.4,0.0000,0.0000,0.1919,0.4553,0.8105
57.599999999999994,0.0000,0.0000,0.2092,0.4739,0.8350
57.8,0.0000,0.0000,0.2269,0.4901,0.8581
57.99999999999999,0.0000,0.0000,0.2447,0.5058,0.8826
58.199999999999996,0.0000,0.0000,0.2620,0.5231,0.9060
58.4,0.0000,0.0000,0.2766,0.5391,0.9311
58.599999999999994,0.0000,0.0274,0.2942,0.5560,0.9558
58.8,0.0000,0.0342,0.3094,0.5724,0.9800
59.0,0.0000,0.0398,0.3243,0.5894,1.0022
59.199999999999996,0.0000,0.0447,0.3407,0.6059,1.0253
59.4,0.0000,0.0548,0.3559,0.6224,1.0491
59.599999999999994,0.0000,0.0694,0.3710,0.6389,1.0733
59.8,0.0000,0.0836,0.3864,0.6562,1.0976
60.0,0.0000,0.0960,0.3995,0.6736,1.1211
60.199999999999996,0.0000,0.1129,0.4156,0.6909,1.1445
60.4,0.0000,0.1277,0.4320,0.7078,1.1695
60.6,0.0000,0.1465,0.4455,0.7248,1.1940
60.8,0.0000,0.1597,0.4598,0.7406,1.2186
61.0,0.0000,0.1760,0.4758,0.7568,1.2429
61.199999999999996,0.0000,0.1922,0.4897,0.7726,1.2682
61.4,0.0000,0.2069,0.5021,0.7897,1.2917
61.6,0.0000,0.2234,0.5167,0.8056,1.3192
61.8,0.0000,0.2394,0.5320,0.8237,1.3447
62.0,0.0000,0.2555,0.5456,0.8395,1.3696
62.2,0.0000,0.2689,0.5599,0.8584,1.3945
62.4,0.0000,0.2841,0.5732,0.8760,1.4204
62.6,0.0000,0.3006,0.5873,0.8945,1.4466
62.8,0.0000,0.3137,0.6014,0.9117,1.4717
63.0,0.0000,0.3283,0.6147,0.9302,1.4974
63.2,0.0000,0.3424,0.6291,0.9468,1.5217
